text,amount,date,merchant,category,is_subscription,source
Потратил 99395 рублей в Ozon на техника и электроника,99395,2024-01-02,Ozon,Техника и электроника,0,voice
DNS Техника и электроника 74826,74826,2024-08-04,DNS,Техника и электроника,0,manual
Покупка. Клиент Telegram. 127627.00 RUB,127627,2024-03-20,Клиент Telegram,Фриланс,0,csv
Потратил 15381 рублей в Подорожник на общественный транспорт,15381,2024-10-23,Подорожник,Общественный транспорт,0,voice
Покупка. Тинькофф Инвестиции. 82259.00 RUB,82259,2024-01-30,Тинькофф Инвестиции,Инвестиции,0,csv
Глобус Супермаркеты 139281,139281,2024-03-21,Глобус,Супермаркеты,0,manual
Потратил 18012 рублей в Ашан на супермаркеты,18012,2024-10-31,Ашан,Супермаркеты,0,voice
Тануки Кафе и рестораны 31477,31477,2025-04-27,Тануки,Кафе и рестораны,0,manual
Покупка. World Class. 10468.00 RUB,10468,2024-11-13,World Class,Спорт,0,csv
Покупка. Кофемания. 148220.00 RUB,148220,2024-09-24,Кофемания,Кафе и рестораны,0,csv
Потратил 82411 рублей в Lamoda на одежда,82411,2024-05-02,Lamoda,Одежда,0,voice
Потратил 78692 рублей в VK Play на развлечения,78692,2024-08-22,VK Play,Развлечения,0,voice
Потратил 120186 рублей в Wildberries на одежда,120186,2024-11-14,Wildberries,Одежда,0,voice
Потратил 140987 рублей в World Class на спорт,140987,2024-04-19,World Class,Спорт,0,voice
Потратил 18083 рублей в Ростелеком на интернет и связь,18083,2025-03-26,Ростелеком,Интернет и связь,0,voice
Оплатил подписку IVI 399 рублей,399,2025-03-02,IVI,Подписки,1,voice
Потратил 138708 рублей в Нетология на образование,138708,2024-01-05,Нетология,Образование,0,voice
Потратил 27204 рублей в ИП Иванов на зарплата,27204,2025-04-25,ИП Иванов,Зарплата,0,voice
Потратил 28108 рублей в Аэроэкспресс на транспорт,28108,2025-01-15,Аэроэкспресс,Транспорт,0,voice
Потратил 73910 рублей в Skyeng на образование,73910,2024-11-05,Skyeng,Образование,0,voice
Потратил 69251 рублей в Подорожник на общественный транспорт,69251,2024-09-15,Подорожник,Общественный транспорт,0,voice
Оплатил подписку ЖКХ Сервис 3800 рублей,3800,2024-08-04,ЖКХ Сервис,Коммунальные услуги,1,voice
Потратил 979 рублей в Сервис оплаты на прочее,979,2024-06-19,Сервис оплаты,Прочее,0,voice
Покупка. ФНС. 68720.00 RUB,68720,2024-03-23,ФНС,Налоги,0,csv
Покупка. Сбер Инвестор. 112165.00 RUB,112165,2024-10-14,Сбер Инвестор,Инвестиции,0,csv
Потратил 39123 рублей в Пятёрочка на продукты,39123,2024-10-06,Пятёрочка,Продукты,0,voice
Покупка. METRO. 144891.00 RUB,144891,2024-03-16,METRO,Супермаркеты,0,csv
Потратил 80858 рублей в Аптека 36.6 на здоровье и аптеки,80858,2024-07-05,Аптека 36.6,Здоровье и аптеки,0,voice
Подари жизнь Благотворительность 55120,55120,2024-12-15,Подари жизнь,Благотворительность,0,manual
Оплатил подписку Wildberries Plus 199 рублей,199,2024-10-13,Wildberries Plus,Подписки,1,voice
Покупка. Горздрав. 40565.00 RUB,40565,2025-04-18,Горздрав,Здоровье и аптеки,0,csv
Потратил 6547 рублей в Яндекс Плюс на подписки,6547,2024-04-01,Яндекс Плюс,Подписки,0,voice
Сбер Инвестор Инвестиции 65105,65105,2024-05-16,Сбер Инвестор,Инвестиции,0,manual
Потратил 100331 рублей в Ситимобил на такси,100331,2025-03-22,Ситимобил,Такси,0,voice
Потратил 52366 рублей в Глобус на супермаркеты,52366,2025-02-22,Глобус,Супермаркеты,0,voice
Потратил 59712 рублей в Лэтуаль на красота и уход,59712,2024-04-24,Лэтуаль,Красота и уход,0,voice
Магнит Продукты 86101,86101,2024-05-22,Магнит,Продукты,0,manual
Якитория Кафе и рестораны 133587,133587,2024-07-23,Якитория,Кафе и рестораны,0,manual
ИП Иванов Зарплата 7285,7285,2024-02-29,ИП Иванов,Зарплата,0,manual
Покупка. Steam. 69640.00 RUB,69640,2024-01-20,Steam,Развлечения,0,csv
Додо Пицца Фастфуд 82278,82278,2024-08-11,Додо Пицца,Фастфуд,0,manual
Потратил 101026 рублей в Booking на путешествия,101026,2025-04-05,Booking,Путешествия,0,voice
Потратил 11685 рублей в World Class на спорт,11685,2024-12-28,World Class,Спорт,0,voice
Аптека 36.6 Здоровье и аптеки 141201,141201,2024-12-17,Аптека 36.6,Здоровье и аптеки,0,manual
Тинькофф Инвестиции Инвестиции 113112,113112,2024-02-05,Тинькофф Инвестиции,Инвестиции,0,manual
Покупка. ООО Техно. 82341.00 RUB,82341,2024-12-05,ООО Техно,Зарплата,0,csv
Вкусно и точка Фастфуд 81127,81127,2024-12-07,Вкусно и точка,Фастфуд,0,manual
Ригла Здоровье и аптеки 77554,77554,2024-10-10,Ригла,Здоровье и аптеки,0,manual
РЖД Транспорт 99440,99440,2024-12-12,РЖД,Транспорт,0,manual
Покупка. Тинькофф Инвестиции. 149237.00 RUB,149237,2024-06-03,Тинькофф Инвестиции,Инвестиции,0,csv
Потратил 79708 рублей в М.Видео на техника и электроника,79708,2024-05-26,М.Видео,Техника и электроника,0,voice
Покупка. Подорожник. 84525.00 RUB,84525,2024-08-26,Подорожник,Общественный транспорт,0,csv
Покупка. Лэтуаль. 56070.00 RUB,56070,2024-09-18,Лэтуаль,Красота и уход,0,csv
Потратил 74442 рублей в Водоканал на коммунальные услуги,74442,2024-09-20,Водоканал,Коммунальные услуги,0,voice
Покупка. ИП Иванов. 87917.00 RUB,87917,2024-02-17,ИП Иванов,Зарплата,0,csv
Покупка. Прочий платеж. 81424.00 RUB,81424,2024-04-25,Прочий платеж,Прочее,0,csv
Потратил 6452 рублей в Подари жизнь на благотворительность,6452,2024-01-24,Подари жизнь,Благотворительность,0,voice
Покупка. Spotify. 19141.00 RUB,19141,2024-08-21,Spotify,Подписки,0,csv
Покупка. Горздрав. 51020.00 RUB,51020,2025-01-02,Горздрав,Здоровье и аптеки,0,csv
Freelance клиент Фриланс 104816,104816,2024-05-04,Freelance клиент,Фриланс,0,manual
Покупка. S7 Airlines. 1503.00 RUB,1503,2025-04-02,S7 Airlines,Транспорт,0,csv
Покупка. ФНС. 111499.00 RUB,111499,2024-04-22,ФНС,Налоги,0,csv
Ситимобил Такси 121828,121828,2024-01-26,Ситимобил,Такси,0,manual
Потратил 119708 рублей в Skyeng на образование,119708,2024-03-09,Skyeng,Образование,0,voice
Покупка. Русфонд. 139283.00 RUB,139283,2024-10-13,Русфонд,Благотворительность,0,csv
Покупка. РЖД. 116067.00 RUB,116067,2024-11-09,РЖД,Путешествия,0,csv
Покупка. Сервис оплаты. 116943.00 RUB,116943,2025-04-04,Сервис оплаты,Прочее,0,csv
Ситимобил Такси 118033,118033,2024-05-12,Ситимобил,Такси,0,manual
Покупка. ФНС. 72745.00 RUB,72745,2025-01-27,ФНС,Налоги,0,csv
Покупка. Сбер. 62766.00 RUB,62766,2024-05-20,Сбер,Налоги,0,csv
Покупка. Золотое Яблоко. 74951.00 RUB,74951,2024-04-30,Золотое Яблоко,Красота и уход,0,csv
VK Play Развлечения 141647,141647,2024-02-11,VK Play,Развлечения,0,manual
Потратил 100460 рублей в РЖД на транспорт,100460,2024-12-21,РЖД,Транспорт,0,voice
Потратил 16887 рублей в S7 Airlines на транспорт,16887,2024-07-31,S7 Airlines,Транспорт,0,voice
Ригла Здоровье и аптеки 122189,122189,2024-07-31,Ригла,Здоровье и аптеки,0,manual
Окей Супермаркеты 102149,102149,2025-04-08,Окей,Супермаркеты,0,manual
Покупка. ФНС. 99764.00 RUB,99764,2024-09-01,ФНС,Налоги,0,csv
Потратил 102282 рублей в Перекрёсток на продукты,102282,2025-03-12,Перекрёсток,Продукты,0,voice
Сервис оплаты Прочее 143215,143215,2025-02-13,Сервис оплаты,Прочее,0,manual
Aviasales Путешествия 57570,57570,2024-05-19,Aviasales,Путешествия,0,manual
Потратил 101986 рублей в Ригла на здоровье и аптеки,101986,2024-06-21,Ригла,Здоровье и аптеки,0,voice
ИП Иванов Зарплата 43315,43315,2025-03-06,ИП Иванов,Зарплата,0,manual
Покупка. Золотое Яблоко. 140067.00 RUB,140067,2024-01-14,Золотое Яблоко,Красота и уход,0,csv
Покупка. М.Видео. 7154.00 RUB,7154,2024-02-12,М.Видео,Техника и электроника,0,csv
Потратил 121081 рублей в Анна на переводы,121081,2024-04-03,Анна,Переводы,0,voice
METRO Супермаркеты 85863,85863,2024-04-18,METRO,Супермаркеты,0,manual
Лэтуаль Красота и уход 99435,99435,2024-05-22,Лэтуаль,Красота и уход,0,manual
Потратил 21521 рублей в Сбер на налоги,21521,2024-08-28,Сбер,Налоги,0,voice
Пятёрочка Продукты 58828,58828,2024-11-28,Пятёрочка,Продукты,0,manual
Покупка. Шоколадница. 8184.00 RUB,8184,2024-05-06,Шоколадница,Кафе и рестораны,0,csv
Покупка. Тройка. 39996.00 RUB,39996,2024-05-02,Тройка,Общественный транспорт,0,csv
Покупка. Аэроэкспресс. 30036.00 RUB,30036,2024-10-15,Аэроэкспресс,Транспорт,0,csv
Покупка. Подорожник. 67222.00 RUB,67222,2025-01-27,Подорожник,Общественный транспорт,0,csv
Покупка. Спортмастер. 30074.00 RUB,30074,2025-02-02,Спортмастер,Обувь,0,csv
Потратил 28387 рублей в Прочий платеж на прочее,28387,2024-10-23,Прочий платеж,Прочее,0,voice
Покупка. Перекрёсток. 98434.00 RUB,98434,2024-07-22,Перекрёсток,Продукты,0,csv
Потратил 63711 рублей в Заказчик Upwork на фриланс,63711,2024-02-22,Заказчик Upwork,Фриланс,0,voice
Покупка. Freelance клиент. 31783.00 RUB,31783,2025-02-11,Freelance клиент,Фриланс,0,csv
World Class Спорт 139705,139705,2024-08-07,World Class,Спорт,0,manual
Потратил 132684 рублей в ООО Техно на зарплата,132684,2024-11-27,ООО Техно,Зарплата,0,voice
Wildberries Одежда 128553,128553,2024-02-24,Wildberries,Одежда,0,manual
Покупка. Ригла. 120567.00 RUB,120567,2024-12-28,Ригла,Здоровье и аптеки,0,csv
Потратил 136822 рублей в Аэроэкспресс на транспорт,136822,2024-11-29,Аэроэкспресс,Транспорт,0,voice
PlayStation Store Развлечения 126795,126795,2024-08-26,PlayStation Store,Развлечения,0,manual
Покупка. Горздрав. 70408.00 RUB,70408,2024-06-14,Горздрав,Здоровье и аптеки,0,csv
Потратил 63977 рублей в Netflix на подписки,63977,2025-01-19,Netflix,Подписки,0,voice
Покупка. Подружка. 99399.00 RUB,99399,2024-06-21,Подружка,Красота и уход,0,csv
Лента Продукты 47718,47718,2024-09-06,Лента,Продукты,0,manual
Потратил 89267 рублей в Подорожник на общественный транспорт,89267,2024-05-23,Подорожник,Общественный транспорт,0,voice
Потратил 145747 рублей в Booking на путешествия,145747,2024-01-06,Booking,Путешествия,0,voice
Оплатил подписку Билайн 700 рублей,700,2024-07-27,Билайн,Интернет и связь,1,voice
СПИСАНИЕ 1100.00 ВОДОКАНАЛ,1100,2024-08-31,Водоканал,Коммунальные услуги,1,csv
Анна Переводы 4570,4570,2024-02-17,Анна,Переводы,0,manual
IVI Кино и сериалы 80320,80320,2024-12-05,IVI,Кино и сериалы,0,manual
X-Fit Спорт 145139,145139,2024-09-28,X-Fit,Спорт,0,manual
Покупка. Ralf Ringer. 144331.00 RUB,144331,2024-06-18,Ralf Ringer,Обувь,0,csv
ECCO Обувь 71069,71069,2024-06-05,ECCO,Обувь,0,manual
Потратил 50534 рублей в Steam на развлечения,50534,2024-06-10,Steam,Развлечения,0,voice
Потратил 56773 рублей в KFC на фастфуд,56773,2025-01-13,KFC,Фастфуд,0,voice
СПИСАНИЕ 3800.00 ЖКХ СЕРВИС,3800,2025-01-24,ЖКХ Сервис,Коммунальные услуги,1,csv
Потратил 77709 рублей в Ростелеком на интернет и связь,77709,2024-04-26,Ростелеком,Интернет и связь,0,voice
Потратил 3758 рублей в Спортмастер на обувь,3758,2024-12-28,Спортмастер,Обувь,0,voice
Потратил 11981 рублей в Skyeng на образование,11981,2024-01-28,Skyeng,Образование,0,voice
Покупка. Skillbox. 33153.00 RUB,33153,2024-11-22,Skillbox,Образование,0,csv
Потратил 3265 рублей в Сбер на налоги,3265,2024-10-20,Сбер,Налоги,0,voice
Okko подписка 48379,48379,2024-01-27,Okko,Кино и сериалы,1,manual
Потратил 17179 рублей в VK Play на развлечения,17179,2024-07-24,VK Play,Развлечения,0,voice
Покупка. Мосэнергосбыт. 14103.00 RUB,14103,2024-03-18,Мосэнергосбыт,Коммунальные услуги,0,csv
Потратил 22379 рублей в S7 Airlines на транспорт,22379,2024-05-07,S7 Airlines,Транспорт,0,voice
Покупка. Додо Пицца. 59212.00 RUB,59212,2025-02-01,Додо Пицца,Фастфуд,0,csv
МегаФон Интернет и связь 77999,77999,2025-03-16,МегаФон,Интернет и связь,0,manual
Потратил 149112 рублей в X-Fit на спорт,149112,2024-11-13,X-Fit,Спорт,0,voice
Покупка. Ашан. 54520.00 RUB,54520,2024-11-16,Ашан,Супермаркеты,0,csv
Покупка. Подорожник. 21332.00 RUB,21332,2024-03-21,Подорожник,Общественный транспорт,0,csv
СПИСАНИЕ 399.00 ЯНДЕКС ПЛЮС,399,2024-01-02,Яндекс Плюс,Подписки,1,csv
Покупка. Ригла. 123234.00 RUB,123234,2024-05-29,Ригла,Здоровье и аптеки,0,csv
Потратил 74162 рублей в Окей на супермаркеты,74162,2024-12-25,Окей,Супермаркеты,0,voice
Покупка. Золотое Яблоко. 61240.00 RUB,61240,2025-04-18,Золотое Яблоко,Красота и уход,0,csv
Покупка. PlayStation Store. 51907.00 RUB,51907,2024-08-05,PlayStation Store,Развлечения,0,csv
Покупка. KFC. 39106.00 RUB,39106,2025-04-10,KFC,Фастфуд,0,csv
Потратил 15683 рублей в Steam на развлечения,15683,2024-03-25,Steam,Развлечения,0,voice
Покупка. Русфонд. 149264.00 RUB,149264,2025-04-16,Русфонд,Благотворительность,0,csv
Оплатил подписку Okko 79765 рублей,79765,2024-12-24,Okko,Кино и сериалы,1,voice
DNS Техника и электроника 141602,141602,2024-09-09,DNS,Техника и электроника,0,manual
Покупка. Золотое Яблоко. 10499.00 RUB,10499,2025-03-31,Золотое Яблоко,Красота и уход,0,csv
Горздрав Здоровье и аптеки 65682,65682,2024-01-14,Горздрав,Здоровье и аптеки,0,manual
Покупка. Тануки. 5488.00 RUB,5488,2025-01-26,Тануки,Кафе и рестораны,0,csv
Покупка. ООО Техно. 10596.00 RUB,10596,2025-01-25,ООО Техно,Зарплата,0,csv
ФНС Налоги 136093,136093,2024-11-29,ФНС,Налоги,0,manual
Потратил 114314 рублей в Лэтуаль на красота и уход,114314,2024-11-21,Лэтуаль,Красота и уход,0,voice
Потратил 123260 рублей в Сервис оплаты на прочее,123260,2024-06-27,Сервис оплаты,Прочее,0,voice
Ригла Здоровье и аптеки 27470,27470,2025-03-15,Ригла,Здоровье и аптеки,0,manual
Uber Russia Такси 129934,129934,2024-05-27,Uber Russia,Такси,0,manual
Покупка. ООО Техно. 144254.00 RUB,144254,2024-01-19,ООО Техно,Зарплата,0,csv
Золотое Яблоко Красота и уход 66214,66214,2024-06-14,Золотое Яблоко,Красота и уход,0,manual
Додо Пицца Фастфуд 351,351,2024-12-02,Додо Пицца,Фастфуд,0,manual
Skillbox Образование 14259,14259,2024-04-06,Skillbox,Образование,0,manual
Покупка. Ростелеком. 115928.00 RUB,115928,2025-01-24,Ростелеком,Интернет и связь,0,csv
Потратил 144024 рублей в Окей на супермаркеты,144024,2024-03-08,Окей,Супермаркеты,0,voice
СПИСАНИЕ 7617.00 OKKO,7617,2024-11-18,Okko,Кино и сериалы,1,csv
Покупка. Aviasales. 41567.00 RUB,41567,2024-06-08,Aviasales,Путешествия,0,csv
Покупка. Skyeng. 107002.00 RUB,107002,2024-02-17,Skyeng,Образование,0,csv
Netflix Подписки 40412,40412,2024-09-12,Netflix,Подписки,0,manual
Freelance клиент Фриланс 71726,71726,2024-07-31,Freelance клиент,Фриланс,0,manual
Сервис оплаты Прочее 63942,63942,2024-08-21,Сервис оплаты,Прочее,0,manual
Skyeng Образование 50017,50017,2025-04-16,Skyeng,Образование,0,manual
Покупка. Booking. 35834.00 RUB,35834,2025-03-18,Booking,Путешествия,0,csv
Покупка. Якитория. 108824.00 RUB,108824,2024-06-23,Якитория,Кафе и рестораны,0,csv
Потратил 74194 рублей в Русфонд на благотворительность,74194,2025-01-06,Русфонд,Благотворительность,0,voice
Покупка. KION. 128406.00 RUB,128406,2025-03-19,KION,Кино и сериалы,0,csv
Аэроэкспресс Транспорт 127017,127017,2024-06-25,Аэроэкспресс,Транспорт,0,manual
Покупка. Zarina. 142506.00 RUB,142506,2024-07-12,Zarina,Одежда,0,csv
Потратил 62651 рублей в Лэтуаль на красота и уход,62651,2024-10-19,Лэтуаль,Красота и уход,0,voice
Покупка. Ozon. 107732.00 RUB,107732,2024-01-23,Ozon,Техника и электроника,0,csv
Zarina Одежда 99987,99987,2024-07-16,Zarina,Одежда,0,manual
Потратил 129897 рублей в ИП Иванов на зарплата,129897,2024-01-19,ИП Иванов,Зарплата,0,voice
Покупка. S7 Airlines. 87080.00 RUB,87080,2025-03-21,S7 Airlines,Транспорт,0,csv
Потратил 137924 рублей в Додо Пицца на фастфуд,137924,2025-04-11,Додо Пицца,Фастфуд,0,voice
Покупка. Золотое Яблоко. 37839.00 RUB,37839,2024-07-28,Золотое Яблоко,Красота и уход,0,csv
Потратил 123124 рублей в Мама на переводы,123124,2025-02-04,Мама,Переводы,0,voice
Покупка. VK Play. 104247.00 RUB,104247,2024-11-28,VK Play,Развлечения,0,csv
Покупка. Якитория. 139935.00 RUB,139935,2024-07-13,Якитория,Кафе и рестораны,0,csv
Покупка. Zarina. 127962.00 RUB,127962,2025-03-22,Zarina,Одежда,0,csv
Покупка. Skyeng. 17986.00 RUB,17986,2024-04-30,Skyeng,Образование,0,csv
Потратил 23742 рублей в Алексей на переводы,23742,2024-08-10,Алексей,Переводы,0,voice
Бургер Кинг Фастфуд 43661,43661,2024-12-21,Бургер Кинг,Фастфуд,0,manual
Оплатил подписку IVI 399 рублей,399,2024-01-29,IVI,Кино и сериалы,1,voice
Okko подписка 64064,64064,2024-09-28,Okko,Кино и сериалы,1,manual
Покупка. Горздрав. 47250.00 RUB,47250,2024-03-28,Горздрав,Здоровье и аптеки,0,csv
Покупка. Яндекс Go. 100331.00 RUB,100331,2024-11-13,Яндекс Go,Такси,0,csv
Компания ООО Ромашка Зарплата 37567,37567,2024-04-28,Компания ООО Ромашка,Зарплата,0,manual
Потратил 120523 рублей в Подружка на красота и уход,120523,2024-05-10,Подружка,Красота и уход,0,voice
Компания ООО Ромашка Зарплата 75450,75450,2024-12-12,Компания ООО Ромашка,Зарплата,0,manual
Потратил 115846 рублей в Skyeng на образование,115846,2025-04-28,Skyeng,Образование,0,voice
Потратил 111280 рублей в ECCO на обувь,111280,2024-12-19,ECCO,Обувь,0,voice
Потратил 52273 рублей в VK Play на развлечения,52273,2024-07-15,VK Play,Развлечения,0,voice
Оплатил подписку Мосэнергосбыт 2400 рублей,2400,2024-07-02,Мосэнергосбыт,Коммунальные услуги,1,voice
Покупка. X-Fit. 77442.00 RUB,77442,2024-01-12,X-Fit,Спорт,0,csv
Потратил 2172 рублей в Сервис оплаты на прочее,2172,2024-10-16,Сервис оплаты,Прочее,0,voice
Потратил 130264 рублей в ИП Иванов на зарплата,130264,2025-03-02,ИП Иванов,Зарплата,0,voice
Покупка. IVI. 57460.00 RUB,57460,2024-11-21,IVI,Кино и сериалы,0,csv
Покупка. Подорожник. 35905.00 RUB,35905,2024-11-17,Подорожник,Общественный транспорт,0,csv
Потратил 115609 рублей в Бургер Кинг на фастфуд,115609,2024-01-18,Бургер Кинг,Фастфуд,0,voice
Покупка. X-Fit. 34498.00 RUB,34498,2024-02-16,X-Fit,Спорт,0,csv
СПИСАНИЕ 52687.00 OKKO,52687,2024-03-08,Okko,Кино и сериалы,1,csv
Русфонд Благотворительность 131592,131592,2025-04-12,Русфонд,Благотворительность,0,manual
Потратил 126363 рублей в Steam на развлечения,126363,2025-02-16,Steam,Развлечения,0,voice
KION Кино и сериалы 122820,122820,2024-02-08,KION,Кино и сериалы,0,manual
Покупка. РЖД. 104229.00 RUB,104229,2025-03-09,РЖД,Транспорт,0,csv
Потратил 103485 рублей в Русфонд на благотворительность,103485,2024-01-08,Русфонд,Благотворительность,0,voice
Потратил 119269 рублей в PlayStation Store на развлечения,119269,2024-07-07,PlayStation Store,Развлечения,0,voice
Покупка. ИП Иванов. 68774.00 RUB,68774,2024-10-26,ИП Иванов,Зарплата,0,csv
М.Видео Техника и электроника 28452,28452,2024-12-11,М.Видео,Техника и электроника,0,manual
Потратил 147219 рублей в Spotify на подписки,147219,2024-06-16,Spotify,Подписки,0,voice
Покупка. Aviasales. 16621.00 RUB,16621,2024-11-21,Aviasales,Путешествия,0,csv
Покупка. Сервис оплаты. 79267.00 RUB,79267,2024-11-28,Сервис оплаты,Прочее,0,csv
Потратил 11937 рублей в Аптека 36.6 на здоровье и аптеки,11937,2024-01-20,Аптека 36.6,Здоровье и аптеки,0,voice
Оплатил подписку Okko 140964 рублей,140964,2024-03-10,Okko,Кино и сериалы,1,voice
DNS Техника и электроника 141658,141658,2024-08-02,DNS,Техника и электроника,0,manual
Покупка. Fitmost. 40557.00 RUB,40557,2025-03-29,Fitmost,Спорт,0,csv
Потратил 128329 рублей в Горздрав на здоровье и аптеки,128329,2024-11-11,Горздрав,Здоровье и аптеки,0,voice
Потратил 97182 рублей в Ригла на здоровье и аптеки,97182,2024-04-21,Ригла,Здоровье и аптеки,0,voice
Потратил 95125 рублей в Лэтуаль на красота и уход,95125,2024-02-20,Лэтуаль,Красота и уход,0,voice
ООО Техно Зарплата 94074,94074,2024-02-01,ООО Техно,Зарплата,0,manual
Потратил 32073 рублей в DNS на техника и электроника,32073,2025-03-10,DNS,Техника и электроника,0,voice
